"","cartodb_id","the_geom","plazas_hoteleras_aprobadas_en_planeamiento","ubicacion_codigo_ine_municipio","archivos_adjuntos","material_grafico","enlaces_noticias","dominio_publico","zonificacion_nivel_proteccion","nombre_figuras_proteccion_ambiental","figuras_proteccion_ambiental","entidades_financieras","concurso_acreedores","cuantia_hipoteca","hipoteca_cargas","fallo","tribunal_dicta","n_fecha_sentencias","sentencias_judiciales","recursos_interpuestos","otros_urbanistico_politica","licencia_urbanistico_politica","proyecto_urbanistico_politica","modificacion_urbanistico_politica","plan_parcial_urbanistico_politica","convenio_urbanistico_politica","otros_planeamiento_tecnico_redactor","licencia_obras_planeamiento_tecnico_redactor","proyecto_urbanistico_planeamiento_tecnico_redactor","modificacion_pgou_planeamiento_tecnico_redactor","plan_parcial_planeamiento_tecnico_redactor","convenio_urbanistico_planeamiento_tecnico_redactor","otras_fechas_planeamiento_fecha_licencia","licencia_obras_planeamiento_fecha_licencia","proyecto_urbanistico_planeamiento_fecha_licencia","modificacion_pgou_planeamiento_fecha_licencia","plan_parcial_planeamiento_fecha_licencia","convenio_urbanistico_planeamiento_fecha_licencia","numero_de_visitantes_previsto_aplicable_centros_de_ocio_planeam","numero_habitantes_previsto_planeamiento","parcelas_uso_equipamiento_aprobadas_planeamiento","parcelas_uso_comercial_aprobadas_en_planeamiento","parcelas_uso_industrial_aprobadas_en_planeamiento","viviendas_aprobadas_en_planeamiento","edificabilidad_absoluta_planificada_o_aprobada","comentarios_tipologia","tipologia_edificatoria","comentarios_otros","uso","ubicacion_codigo_ine_provincia","descripcion_propiedad","arquitecto_o_tecnico_redactor","constructor","promotor","comentarios_otras_opciones","estado_actual","parcelas_uso_equipamiento_construidas","parcelas_uso_comercial_construidas","parcelas_uso_industrial_construidas","plazas_hoteleras_construidas","viviendas_construidas","suelo_ocupado_actual","superficie_construida","superficie_terreno","padre_adoptivo","fecha_autor_fuente_de_la_foto","enlance_a_mapa_foto_aerea","enlace_web","fuente","tipologia_asentamiento_secundario","tipologia_asentamiento_principal","comunidad_autonoma","provincia","municipio","direccion","latitud_longitud","nombre_urbanistico","nombre_promocional","latitud","longitud"
"129",129,"0101000020E61000007D59DAA9B9DCEFBFB43BA41820EF4240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2131.5",,,,"609","52375",,"Vivienda unifamiliar pareada o adosada",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,"1092311","Ruinas Modernas",,,"http://www.juliaschulzdornburg.com/cas/las-veredas","Ruinas Modernas",,"NEU - Nueva entidad urbana","Región de Murcia",,"Murcia","Gea y Truyols","37.868167, -0.995694","Zu-SF-GT20 “Las veredas”","Las Veredas",37.868167,-0.995694
"130",130,"0101000020E6100000A8A78FC01F7EEFBFDC291DACFFED4240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10349.5",,,,"2957","231469",,"Vivienda unifamiliar pareada o adosada",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,"5000000","Ruinas Modernas",,,"http://www.juliaschulzdornburg.com/cas/sierra-real-golf","Ruinas Modernas","DEO - Desarrollo ligado a instalaciones de ocio","NEU - Nueva entidad urbana","Región de Murcia",,"Murcia","Finca El Escobar, Jerónimos y Avileses","37.859365, -0.984146","ZU-SF-JA2 “Finca el Escobar”","Sierra Real Golf",37.859365,-0.984146
"131",131,"0101000020E6100000F89E364F1A8FEFBF610AC50C43EC4240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"Vivienda unifamiliar pareada o adosada",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,"491810","Ruinas Modernas",,,"http://www.juliaschulzdornburg.com/cas/las-carretillas","Ruinas Modernas",,"NEU - Nueva entidad urbana","Región de Murcia",,"Murcia","Jerónimos y Avileses","37.8457962,-0.9862186","ZU-SP-JA8 “Las Carretillas”","Las Carretillas",37.8457962,-0.9862186
"132",132,"0101000020E610000036E49F19C407EFBFC870862C1CF24240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,"Vivienda unifamiliar pareada o adosada",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,,"Ruinas Modernas",,,"http://www.nacionrotonda.com/2013/06/sucina-murcia.html","Ruinas Modernas- Nación Rotonda","DEO - Desarrollo ligado a instalaciones de ocio","NEU - Nueva entidad urbana","Región de Murcia",,"Murcia","Sucina, Partido de Bálsicas","37.8914848,-0.969698","Zu-Su-SN 6 “Finca Riquelme”","Hacienda Riquelme Golf Resort",37.8914848,-0.969698
"133",133,"0101000020E610000083A7902BF5ACEEBF67BAD7497DF34240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5754",,,,"1644","150219",,"Vivienda unifamiliar pareada o adosada",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,"1687959","Ruinas Modernas",,,"http://www.juliaschulzdornburg.com/cas/peisa-golf-mar-menor","Ruinas Modernas","DEO - Desarrollo ligado a instalaciones de ocio","NEU - Nueva entidad urbana","Región de Murcia",,"Murcia","Sucina, Partido de Bálsicas","37.902261, -0.958613","Zu-Sb-Sn8 “Peysa Centro”","Peisa Golf Mar Menor",37.902261,-0.958613
"134",134,"0101000020E6100000BE2F2E55690BEEBF0246973787F14240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2100",,,,"600","47829",,"Vivienda unifamiliar pareada o adosada",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,"239171","Ruinas Modernas",,,"http://www.juliaschulzdornburg.com/cas/sucina-golf-country-club","Ruinas Modernas","DEO - Desarrollo ligado a instalaciones de ocio","NEU - Nueva entidad urbana","Región de Murcia",,"Murcia","Sucina, Partido de Bálsicas","37.886939, -0.938893","ZU-SU-Sn4","Sucina Golf & Country Club",37.886939,-0.938893
"135",135,"0101000020E61000003A7AFCDEA67FEEBF65822BEADDEF4240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4931.5",,,,"1409","151996",,"Vivienda unifamiliar pareada o adosada",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,"3172680","Ruinas Modernas",,,"http://www.juliaschulzdornburg.com/cas/peraleja-golf","Ruinas Modernas- Nación Rotonda","DEO - Desarrollo ligado a instalaciones de ocio","NEU - Nueva entidad urbana","Región de Murcia",,"Murcia","Sucina, Partido de Bálsicas","37.8739598,-0.9530825","Zu-SF-Sn5 “La Peraleja”","La Peraleja Golf",37.8739598,-0.9530825
"136",136,"0101000020E610000016DF50F86C1DEEBF7FF8F9EFC1ED4240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6065.5",,,,"1733","155537",,"Vivienda unifamiliar pareada o adosada",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,"2301585","Ruinas Modernas",,,"http://www.juliaschulzdornburg.com/cas/eden-del-mar","Ruinas Modernas",,"NEU - Nueva entidad urbana","Región de Murcia",,"Murcia","Jerónimos y Avileses","37.857481, -0.941092","Zu-SF-JA4","Eden del Mar",37.857481,-0.941092
"137",137,"0101000020E6100000BEDA519CA30EEEBF74266DAAEEEF4240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4189.5",,,,"1197","114317",,"Vivienda unifamiliar pareada o adosada",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,"1385671","Ruinas Modernas",,,"http://www.juliaschulzdornburg.com/cas/altos-de-sucina","Ruinas Modernas",,"NEU - Nueva entidad urbana","Región de Murcia",,"Murcia","Sucina, Partido de Bálsicas","37.874471, -0.939287","Zu-SP-Sn7 "" altos del Sucina""","Los Altos de Sucina",37.874471,-0.939287
"138",138,"0101000020E6100000537765170CAEEDBF90662C9ACEEE4240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7224",,,,"2064","258037",,"Vivienda unifamiliar pareada o adosada",,"Residencial Unifamiliar",,,,,,,"Edificación no terminada",,,,,,,,"2267084","Ruinas Modernas",,,"http://www.nacionrotonda.com/2013/06/avileses-murcia.html, http://www.juliaschulzdornburg.com/cas/ochando-golf","Ruinas Modernas- Nación Rotonda","DEO - Desarrollo ligado a instalaciones de ocio","NEU - Nueva entidad urbana","Región de Murcia",,"Murcia","Sucina, Partido de Bálsicas","37.865680, -0.927496","Zu-SP-JA5 “hacienda de Ochando”","Ochando Golf",37.86568,-0.927496
